episode;date;rating;title;summary
S01E01;1989-12-17;8.1;Simpsons Roasting on an Open Fire;Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.
S01E02;1990-01-14;7.7;Bart the Genius;Bart ends up at a school for gifted children after cheating on an IQ test.
S01E03;1990-01-21;7.3;Homer's Odyssey;After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.
S01E04;1990-01-28;7.7;There's No Disgrace Like Home;After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.
S01E05;1990-02-04;7.9;Bart the General;After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.
S01E06;1990-02-11;7.6;Moaning Lisa;A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.
S01E07;1990-02-18;7.7;The Call of the Simpsons;Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.
S01E08;1990-02-25;7.6;The Telltale Head;Bart gets more than he bargained for when he saws the head off a statue of the town's founder.
S01E09;1990-03-18;7.4;Life on the Fast Lane;Marge contemplates an affair with a handsome bowling instructor.
S01E10;1990-03-25;7.3;Homer's Night Out;After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.
S01E11;1990-04-15;7.8;The Crepes of Wrath;Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.
S01E12;1990-04-29;8.3;Krusty Gets Busted;After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.
S01E13;1990-05-13;7.7;Some Enchanted Evening;Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.
S02E01;1990-10-11;8.2;Bart Gets an F;Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.
S02E02;1990-10-18;8.2;Simpson and Delilah;Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.
S02E03;1990-10-25;8.2;Treehouse of Horror;The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.
S02E04;1990-11-01;8.0;Two Cars in Every Garage and Three Eyes on Every Fish;After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.
S02E05;1990-11-08;7.4;Dancin' Homer;Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.
S02E06;1990-11-15;7.9;Dead Putting Society;In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.
S02E07;1990-11-22;7.7;Bart vs. Thanksgiving;On Thanksgiving, Bart runs away after fighting with Lisa.
S02E08;1990-12-06;8.3;Bart the Daredevil;After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.
S02E09;1990-12-20;8.1;Itchy & Scratchy & Marge;Marge becomes a crusader against cartoon violence after "Itchy and Scratchy" seemingly inspires Maggie to attack Homer.
S02E10;1991-01-10;7.8;Bart Gets Hit by a Car;While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.
S02E11;1991-01-24;8.8;One Fish, Two Fish, Blowfish, Blue Fish;After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.
S02E12;1991-01-31;8.2;The Way We Was;Homer and Marge tell the story of how they met and fell in love in high school.
S02E13;1991-02-07;8.0;Homer vs. Lisa and the 8th Commandment;Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.
S02E14;1991-02-14;7.4;Principal Charming;Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead.
S02E15;1991-02-21;8.3;Oh Brother, Where Art Thou?;After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him.
S02E16;1991-03-07;7.4;Bart's Dog Gets an F;After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.
S02E17;1991-03-28;7.6;Old Money;After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.
S02E18;1991-04-11;7.9;Brush with Greatness;After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide.
S02E19;1991-04-25;8.5;Lisa's Substitute;Lisa has a crush on her substitute teacher; Bart decides to run for class president.
S02E20;1991-05-02;7.8;The War of the Simpsons;Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.
S02E21;1991-05-09;8.3;Three Men and a Comic Book;Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.
S02E22;1991-07-11;7.8;Blood Feud;After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a "thank you" card as compensation.
S03E01;1991-09-19;8.6;Stark Raving Dad;Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is
